Table 1
device_name,device_name,alias,,,,
hb3-TASMeasure,HB3:TASMeasure:Counter,measure_condition_counter,,,,
hb3-TASMeasure,HB3:TASMeasure:Counts,measure_condition_increment,,,,
hb3-TASMeasure,HB3:TASMeasure:Detector,measure_detector,,,,
hb3-TASMeasure,HB3:TASMeasure:RunMode,measure_run_mode,,,,
hb3-TASMeasure,HB3:TASMeasure:Normalize,measure_normalize,,,,
hb3-TASMeasure,HB3:TASMeasure:CheckFit,measure_check_fit,,,,
hb3-TASMeasure,HB3:TASMeasure:MoveToCenter,measure_move_to_center,,,,
hb3-TASMeasure,HB3:TASMeasure:MoveToMarker,measure_move_to_marker,,,,
hb3-TASMeasure,HB3:TASMeasure:Fit:Mark:Xmin,measure_fit_x_min,,,,
hb3-TASMeasure,HB3:TASMeasure:Fit:Mark:Xmax,measure_fit_x_max,,,,
hb3-TASMeasure,HB3:TASMeasure:Fit:Pos,measure_fit_pos,,,,
hb3-TASMeasure,HB3:TASMeasure:Fit:Wid,measure_fit_width,,,,
hb3-TASMeasure,HB3:TASMeasure:Fit:Base,measure_fit_base,,,,
hb3-TASMeasure,HB3:TASMeasure:Fit:Amp,measure_fit_amplitude,,,,
hb3-TASMeasure,HB3:TASMeasure:ForceEnd,measure_force_end,,,,
hb3-TASMeasure,HB3:TASMeasure:Stat,measure_status,,,,
hb3-TASMeasure,HB3:TASMeasure:Fit:Data:X,measure_data_x,,,,
hb3-TASMeasure,HB3:TASMeasure:Fit:Data:Y,measure_data_y,,,,
hb3-TASMeasure,HB3:TASMeasure:DoPrologue,measure_prologue,,,,
hb3-TASMeasure,HB3:TASMeasure:DoEpilogue,measure_epilogue,,,,
hb3-TASMeasure,HB3:TASMeasure:ScanID,measure_scan_id,,,,
hb3-TASMeasure,HB3:TASMeasure:ScanDevicesEncoded,measure_scan_devices,,,,
hb3-TASMeasure,HB3:TASMeasure:DefaultXChannel,def_x,,,,
hb3-TASMeasure,HB3:TASMeasure:DefaultYChannel,def_y,,,,
SE-CCR,HB3:SE:CCR:MS:SETP_S,ccr_temp,,,,
SE-CCR,HB3:SE:CCR:SAMPLE_TEMP,ccr_temp_rbv,,,,
hb3-Graffiti,HB3:CS:Graffiti:Generate,,,,,
hb3-GraffitiPVs,HB3:CS:GraffitiPVs:LIST,,,,,
hb3-MonitorPVs,HB3:CS:MonitorPVs:LIST,,,,,
